X,Y,SEGMENT
22265.4492,199227.5938,1
22743.2402,198178.2031,1
22933.3496,197749.2031,1
22927.1699,197734.5,1
22928.3711,197732.0156,1
23206.7598,197155.2969,1
23172.9395,197103.7031,1
23179.6406,197039.2031,1
23260.9609,196895.9063,1
23380.1426,196610.5469,1
23417.9609,196520,1
23426.3594,196483.4063,1
23350.4609,195794.7969,1
23350.8105,195792.7031,1
23574.8496,194449.5938,1
23589.4707,194433.2969,1
23800.8691,193205.5,1
24071.1504,191654.7031,1
24060.9609,191648.2031,1
24123.5098,191266.2031,1
24146.0801,191142.5938,1
24203.8828,190822.6406,1
24204.4492,190819.5,1
23992.5391,190769.2031,1
23973.3008,190775.4063,1
23959.6094,190776.5,1
23944.3691,190773.0938,1
23954.7598,190731.4063,1
23853.0801,190454.2031,1
23910.9297,190209.9063,1
24020.8203,190092.7969,1
24092.9199,190019.2031,1
24128.1992,189979.2969,1
24141.7695,189959.4063,1
24145.6699,189934,1
24136.8105,189895.4063,1
24112.5801,189833.0938,1
24034.2793,189642.7031,1
24076.7207,189614,1
24099.9609,189598.5938,1
24119.1699,189585.7031,1
24122.6602,189576.5,1
24119.5293,189562.2969,1
24118.4199,189546.5938,1
24135.5195,189523.0938,1
24153.6094,189494,1
24161.6406,189479.7969,1
24166.0898,189459.9063,1
24172.0703,189442.0938,1
24193.6992,189411.5,1
24260.6797,189330.2031,1
24338.7793,189241.7969,1
24413.9297,189167.5938,1
24501.7598,189093.4063,1
24582.5508,189029.2969,1
24668.3594,188957.0938,1
24773.3105,188862.4063,1
24858.1895,188802.7969,1
24930.4199,188750,1
24982.9609,188713.5938,1
25014.3496,188701.2031,1
25049.7109,188676.5938,1
25083.0898,188659.5,1
25128.4902,188616.0938,1
25151.7109,188595.5938,1
25207.8496,188567.2031,1
25243.7109,188540.0938,1
25289.1406,188502.7031,1
25323.9902,188476,1
25370.5195,188451.2969,1
25422.0996,188423,1
25468.5703,188389.7031,1
25504.9492,188365.5,1
25539.9004,188354.5938,1
25572.3105,188345.2969,1
25593.0605,188336,1
25621.4707,188336.2969,1
25640.2598,188339.2031,1
25659.4805,188328.4063,1
25685.8105,188320.0938,1
25722.3105,188314.7031,1
25745.1504,188316.5938,1
25770.0098,188315.9063,1
25799.3809,188307.0938,1
25823.6992,188300.2969,1
25853.1406,188303.5938,1
25884.0898,188302.9063,1
25908.8691,188288.5,1
25931.6094,188275.2031,1
25954.9609,188275.5,1
25973.7207,188273.4063,1
25990.9609,188272.7031,1
26019.4395,188277.5938,1
26051.3691,188286.5,1
26076.6895,188292.2969,1
26124.4395,188286.0938,1
26185.9395,188272.4063,1
26224.5605,188265.5938,1
26244.9297,188255.5938,1
26266.2695,188252.7031,1
26279.4707,188252.2969,1
26297.7793,188246.4063,1
26323.6992,188241,1
26329.3008,188238,1
26329.0605,188176.2969,1
26343.4707,188038.5,1
26319.6504,188031.7969,1
26328.8906,187997.7969,1
26342.1992,187962.2969,1
26361.6895,187899.4063,1
26375.5508,187851.7031,1
26381.6992,187830.9063,1
26400.0996,187792.2969,1
26419.5098,187752.2969,1
26430.2695,187720.2969,1
26439.9805,187697.5,1
26463.9395,187665.5938,1
26481.2695,187640.7969,1
26516.4395,187591.5938,1
26474.9492,187556.5,1
26420.8691,187489.7969,1
26364.2891,187415.4063,1
26324.9492,187343.2031,1
26283.0898,187266.9063,1
26258.4004,187213.5,1
26447.8496,187152.7031,1
26439.2598,187140.5,1
26430.2109,187117.0938,1
26427.25,187091.2031,1
