StatisticalSector,NIS9,PostCode,Municipality,NIS5,Arrondissement,NIS2,NUTS3,Province,NIS1_5,NUTS2,Region,NIS1,NUTS1
AARTSELAAR-CENTRUM,11001A00-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE LEEUWERIK,11001A01-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BUERSTEDE,11001A020,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
YSSELAAR,11001A030,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KLEINE GRIPPE,11001A042,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LEUG,11001A052,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
TEN DORPE,11001A063,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BRUINEN BAARD,11001A074,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KLEISTRAAT - OEVER,11001A091,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
CLEYDAEL-KASTEEL,11001A0MA,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ZINKVAL,11001A0PA,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
'T HEIKEN,11001A10-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
NOTELAAN,11001A173,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE REUKENS,11001A190,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE KOEKOEK,11001A20-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
VIERPALEN,11001A21-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STABROEK,1100212MQ,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),11002A00-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KLAPDORP - BROUWERSVLIET,11002A01-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GROENPLAATS (SPAANSE WALLEN),11002A02-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HOOGSTRAAT (SPAANSE WALLEN),11002A03-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
OUDAAN (SPAANSE WALLEN),11002A04-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GEVANGENIS (SPAANSE WALLEN),11002A05-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHELDEKADEN NOORD,11002A081,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
MEIR - LEYSSTRAAT (SP. WALLEN),11002A10-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KIPDORP-ST.-JACOBS (SP.WALLEN),11002A11-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
K.N.S.-NAT. BANK (SP. WALLEN),11002A12-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STADSWAAG-BEGIJNHOF(SP.WALLEN),11002A13-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
TABAKSVEST (SPAANSE WALLEN),11002A14-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HESSENHUIS (SPAANSE WALLEN),11002A15-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-ANDRIES (SPAANSE WALLEN),11002A21-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-MICHIELSKAAI (SP. WALLEN),11002A22-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LINKEROEVER-ZUID (LINKEROEVER),11002B701,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LINKEROEVER - STATION,11002B71-,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LINKEROEVER - STATION,11002B71-,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LINKEROEVER-NOORD,11002B721,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-ANNA (LINKEROEVER),11002B73-,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
THOENETLAAN (LINKEROEVER),11002B742,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GLORIANTLAAN (LINKEROEVER),11002B752,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GALGEWEEL (LINKEROEVER),11002B782,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-ANNABOS (LINKEROEVER ),11002B791,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BLANCEFLOERLAAN  (LINKEROEVER),11002B813,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
CHARLES DE COSTERLAAN(L.OEVER),11002B824,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STATIEKWARTIER (STATIONSWIJK),11002C20-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STATIEKWARTIER (STATIONSWIJK),11002C20-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STATIEKWARTIER (STATIONSWIJK),11002C20-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ATHENEUM (STATIONSWIJK),11002C21-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ATHENEUM (STATIONSWIJK),11002C21-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE CONINCPLEIN-Z.(STATIONSW.),11002C22-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE CONINCPLEIN-Z.(STATIONSW.),11002C22-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
OFFERANDESTRAAT(STATIONSWIJK ),11002C23-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
PROVINCIESTRAAT(STATIONSWIJK ),11002C24-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
PROVINCIESTRAAT(STATIONSWIJK ),11002C24-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
PELIKAANSTRAAT (STATIONSWIJK ),11002C25-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STATION - ZOO (STATIONSWIJK ),11002C28-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STADSPARK (STATIONSWIJK ),11002C29-,,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
JEZUITENCOLLEGE(STATIONSWIJK ),11002C31-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
JEZUITENCOLLEGE(STATIONSWIJK ),11002C31-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DAMBRUGGESTRAAT-N.(STATIONSW.),11002C41-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE ZAVEL (NOORDWIJK ),11002C42-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-WILLEBRORDUS (NOORDWIJK ),11002C43-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
POTGIETERSTRAAT (NOORDWIJK),11002C44-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
